Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
11950381,62,Male,Single,Greensboro,North Carolina,United States,Yes,2003,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-13 00:00:00,218,2,1,1
11737666,61,Female,Married,Bolingbrook,Illinois,United States,Yes,1983,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-24 00:00:00,50,1,1,1
10648019,37,Female,Married,Deerfield,Illinois,United States,Yes,2007,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-02-11 00:00:00,6271,15,8,1
10544184,61,Female,Married,Mahomet,Illinois,United States,Yes,2021,1KM-Gies College of Business,MBA: Master of Business Admin,Back to School '22,2022-09-01 00:00:00,0,0,0,0
11475753,61,Male,Married,Maple Grove,Minnesota,United States,Yes,1984,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12068202,63,Male,Married,Littleton,Colorado,United States,Yes,1981,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Holiday Promo '22,2022-11-18 00:00:00,0,0,0,0
11707395,70,Female,Divorced,Colorado Springs,Colorado,United States,Yes,1978,1KV-Liberal Arts & Sciences,BA: Bachelor of Arts,Main site,2022-08-30 00:00:00,0,0,0,0
14065846,32,Male,Unknown,São Paulo,Sao Paulo,Brazil,Yes,2025,1KM-Gies College of Business,MS: Master of Science,No record,1900-01-01 00:00:00,0,0,0,0
11776682,44,Female,Married,Palatine,Illinois,United States,Yes,2001,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-18 00:00:00,18,1,1,1
11449276,81,Male,Married,Blacksburg,Virginia,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
11431703,79,Male,Single,Richton Park,Illinois,United States,Yes,,,,Main site,2022-07-05 00:00:00,0,0,0,0
11325331,63,Female,Married,Chicago,Illinois,United States,Yes,1981,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-04-01 00:00:00,0,0,0,0
12067673,64,Male,Married,Western Springs,Illinois,United States,Yes,1982,1KP-Grainger Engineering,BS: Bachelor of Science,Main site,2022-07-05 00:00:00,0,0,0,0
12022856,53,Male,Single,Chicago,Illinois,United States,Yes,1992,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-02-07 00:00:00,500,9,7,1
11767226,47,Female,Single,Woodbridge,Virginia,United States,Yes,2000,1KN-Education,EDM: Masters in Education,No record,1900-01-01 00:00:00,0,0,0,0
10506068,82,Female,Married,Naples,Florida,United States,Yes,1963,1KR-Fine & Applied Arts,BFA: Bachelor of Fine Arts,Main site,2022-12-31 00:00:00,0,0,0,0
11589428,60,Female,Married,Peoria,Illinois,United States,Yes,1985,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-11 00:00:00,100,2,1,1
11488740,55,Female,Single,Roselle,Illinois,United States,Yes,1990,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-11-05 00:00:00,0,0,0,0
11789858,44,Female,Single,Lakewood Ranch,Florida,United States,Yes,2001,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12035155,51,Female,Unknown,Demarest,New Jersey,United States,Yes,2003,1KM-Gies College of Business,MBA: Master of Business Administration,Main site,2022-10-10 00:00:00,0,0,0,0
11125582,26,Female,Single,Champaign,Illinois,United States,Yes,2019,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12054583,68,Female,Married,Normal,Illinois,United States,Yes,2005,1LP-School of Information Sciences,MS: Master of Science,No record,1900-01-01 00:00:00,0,0,0,0
